Time	Channel A	Channel B
(ms)	(V)	(V)

133.76893809	0.07874016	0.00000000
133.77295409	0.07874016	-0.01574803
133.77697009	0.07874016	-0.01574803
133.78098609	0.07874016	0.00000000
133.78500209	0.07874016	0.00000000
133.78901809	0.07874016	0.00000000
133.79303409	0.07874016	0.00000000
133.79705009	0.07874016	0.00000000
133.80106609	0.07874016	0.00000000
133.80508209	0.07874016	0.00000000
133.80909809	0.07874016	0.00000000
133.81311409	0.07874016	0.00000000
133.81713009	0.07874016	0.00000000
133.82114609	0.07874016	-0.01574803
133.82516209	0.07874016	-0.01574803
133.82917809	0.07874016	-0.01574803
133.83319409	0.07874016	0.00000000
133.83721009	0.07874016	0.00000000
133.84122609	0.07874016	0.00000000
133.84524209	0.07874016	0.00000000
133.84925808	0.07874016	0.00000000
133.85327408	0.07874016	0.00000000
133.85729008	0.07874016	0.00000000
133.86130608	0.07874016	0.00000000
133.86532208	0.07874016	0.00000000
133.86933808	0.15748030	-0.01574803
133.87335408	0.07874016	0.00000000
133.87737008	0.07874016	-0.01574803
133.88138608	0.07874016	0.00000000
133.88540208	0.07874016	0.00000000
133.88941808	0.07874016	0.00000000
133.89343408	0.07874016	0.00000000
133.89745008	0.07874016	0.00000000
133.90146608	0.07874016	0.00000000
133.90548208	0.07874016	-0.01574803
133.90949808	0.15748030	-0.01574803
133.91351408	0.15748030	-0.01574803
133.91753008	0.07874016	-0.01574803
133.92154608	0.15748030	0.00000000
133.92556208	0.07874016	0.00000000
133.92957808	0.07874016	0.00000000
133.93359408	0.07874016	-0.01574803
133.93761008	0.07874016	-0.01574803
133.94162608	0.07874016	-0.01574803
133.94564208	0.07874016	-0.01574803
133.94965808	0.07874016	-0.01574803
133.95367408	0.07874016	-0.01574803
133.95769008	0.07874016	-0.01574803
133.96170608	0.07874016	0.00000000
133.96572208	0.07874016	-0.01574803
133.96973808	0.07874016	-0.01574803
133.97375408	0.07874016	-0.01574803
133.97777008	0.07874016	-0.01574803
133.98178608	0.07874016	0.00000000
133.98580208	0.07874016	-0.01574803
133.98981808	0.07874016	0.00000000
133.99383408	0.07874016	0.00000000
133.99785008	0.07874016	0.00000000
134.00186608	0.07874016	0.00000000
134.00588208	0.07874016	0.00000000
134.00989808	0.07874016	0.00000000
134.01391408	0.07874016	0.00000000
134.01793008	0.07874016	0.00000000
134.02194608	0.07874016	-0.01574803
134.02596208	0.07874016	-0.01574803
134.02997808	0.07874016	0.00000000
134.03399408	0.07874016	0.00000000
134.03801008	0.07874016	0.00000000
